"USAFID","WBAN","YR","M","D","HR","MIN","LAT","LONG","ELEV","WIND.DIR","WIND.SPD","TEMP","DEW.POINT","ATM.PRES"
68510,99999,2011,1,26,8,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,26,9,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,26,10,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,26,11,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,26,12,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,26,13,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,26,14,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,26,15,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,26,16,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,26,17,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,26,18,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,26,19,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,26,20,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,27,4,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,27,5,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,27,6,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,27,7,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,27,8,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,27,9,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,27,10,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,27,11,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,27,12,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,27,13,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,27,14,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,27,15,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,27,16,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,27,17,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,27,18,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,27,19,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,27,20,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,28,4,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,28,5,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,28,6,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,28,7,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,28,8,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,28,9,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,28,10,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,28,11,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,28,12,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,28,13,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,28,14,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,28,15,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,28,16,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,28,17,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,28,18,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,28,19,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,28,20,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,29,4,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,29,5,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,29,6,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,29,7,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,29,8,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,29,9,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,29,10,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,29,11,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,29,12,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,29,13,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,29,14,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,29,15,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,29,16,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,29,17,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,29,18,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,29,19,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,29,20,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,30,4,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,30,5,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,30,6,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,30,7,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,30,8,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,30,9,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,30,10,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,30,11,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,30,12,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,30,13,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,30,14,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,30,15,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,30,16,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,30,17,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,30,18,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,30,19,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,30,20,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,31,4,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,31,5,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,31,6,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,31,7,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,31,8,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,31,9,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,31,10,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,31,11,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,31,12,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,31,13,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,31,14,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,31,15,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,31,16,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,31,17,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,31,18,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,31,19,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,1,31,20,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,2,1,4,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,2,1,5,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,2,1,6,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,2,1,7,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,2,1,8,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,2,1,9,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,2,1,10,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,2,1,11,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,2,1,12,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,2,1,13,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,2,1,14,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,2,1,15,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,2,1,16,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,2,1,17,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,2,1,18,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
68510,99999,2011,2,1,19,0,47.25,8.767,522,999,999.9,999.9,999.9,9999.9
